,user_id,target_item,item_name,iter,pre_rank,top_prediction_item_name,critiqued_keyphrase,keyphrase_name,post_rank,num_existing_keyphrases
28,2,1254,b'Chung King Garden Restaurant',3,4045,b'Pai Northern Thai Kitchen',91,wrap,3509,10
29,2,1254,b'Chung King Garden Restaurant',4,4045,b'Pai Northern Thai Kitchen',0,chinese,4307,10
30,2,1522,b'MeNami',0,4,b'Pai Northern Thai Kitchen',95,corn,3,10
31,2,1522,b'MeNami',1,4,b'Pai Northern Thai Kitchen',124,salmon,10,10
32,2,1522,b'MeNami',2,4,b'Pai Northern Thai Kitchen',216,baked,3,10
33,2,1522,b'MeNami',3,4,b'Pai Northern Thai Kitchen',86,sesame,0,10
34,2,1522,b'MeNami',4,4,b'Pai Northern Thai Kitchen',49,cheese,5,10
35,2,3838,b'Lucullus Bakers & Roasters',0,853,b'Pai Northern Thai Kitchen',18,bakery,486,10
36,2,3838,b'Lucullus Bakers & Roasters',1,853,b'Pai Northern Thai Kitchen',119,bun,1235,10
37,2,3838,b'Lucullus Bakers & Roasters',2,853,b'Pai Northern Thai Kitchen',128,milk tea,90,10
38,2,3838,b'Lucullus Bakers & Roasters',3,853,b'Pai Northern Thai Kitchen',0,chinese,360,10
39,2,3838,b'Lucullus Bakers & Roasters',4,853,b'Pai Northern Thai Kitchen',53,tea,108,10
40,2,4130,b'Atlas Medical Clinic',0,6135,b'Pai Northern Thai Kitchen',166,spacious,6107,10
41,2,4130,b'Atlas Medical Clinic',1,6135,b'Pai Northern Thai Kitchen',150,clean,6195,10
42,2,4130,b'Atlas Medical Clinic',2,6135,b'Pai Northern Thai Kitchen',154,convenient,6106,10
43,2,4130,b'Atlas Medical Clinic',3,6135,b'Pai Northern Thai Kitchen',1,fast,887,10
44,2,4130,b'Atlas Medical Clinic',4,6135,b'Pai Northern Thai Kitchen',149,quick,6119,10
45,2,4397,b'Fishman Lobster Clubhouse Restaurant',0,10,b'Pai Northern Thai Kitchen',115,lobster,0,10
46,2,4397,b'Fishman Lobster Clubhouse Restaurant',1,10,b'Pai Northern Thai Kitchen',30,seafood,3,10
47,2,4397,b'Fishman Lobster Clubhouse Restaurant',2,10,b'Pai Northern Thai Kitchen',5,fried,9,10
48,2,4397,b'Fishman Lobster Clubhouse Restaurant',3,10,b'Pai Northern Thai Kitchen',46,fish,2,10
49,2,4397,b'Fishman Lobster Clubhouse Restaurant',4,10,b'Pai Northern Thai Kitchen',133,fried rice,4,10
50,2,4443,b'Khao San Road',0,57,b'Pai Northern Thai Kitchen',185,wait,2,10
51,2,4443,b'Khao San Road',1,57,b'Pai Northern Thai Kitchen',3,bar,5,10
52,2,4443,b'Khao San Road',2,57,b'Pai Northern Thai Kitchen',187,spicy,39,10
53,2,4443,b'Khao San Road',3,57,b'Pai Northern Thai Kitchen',8,lunch,42,10
54,2,4443,b'Khao San Road',4,57,b'Pai Northern Thai Kitchen',152,fresh,7,10
